row_id,season,year_start,region,crop,area_000ha,production_kt,yield_t_ha,split,expected_yield_t_ha,yield_shortfall,low_yield_shortfall_threshold,low_yield_risk,forecast_window,window_start_month,window_end_month,window_order,n_weather_days,lat,lon,rain_sum,rain_mean,rain_days,dry_days,max_3day_rain,max_7day_rain,max_consecutive_dry_days,heavy_rain_days_10,heavy_rain_days_25,tmax_mean,tmax_max,tmin_mean,tmin_min,heat_days_25,heat_days_30,heat_days_35,heat_degree_days_30,frost_days_0,cold_days_5,radiation_sum,radiation_mean,evap_sum,evap_mean,vp_mean,vp_min,vp_max,hot_dry_days_30_rain_lt_1,high_evap_dry_days,heat_and_low_rain_days,soil_lat,soil_lon,soil_awc_topsoil_0_30,soil_awc_subsoil_30_100,soil_bulk_density_topsoil_0_30,soil_bulk_density_subsoil_30_100,soil_clay_topsoil_0_30,soil_clay_subsoil_30_100,soil_sand_topsoil_0_30,soil_sand_subsoil_30_100,soil_silt_topsoil_0_30,soil_silt_subsoil_30_100,soil_soc_topsoil_0_30,soil_soc_subsoil_30_100,soil_total_n_topsoil_0_30,soil_total_n_subsoil_30_100,soil_total_p_topsoil_0_30,soil_total_p_subsoil_30_100,soil_phc_topsoil_0_30,soil_phc_subsoil_30_100,soil_ecec_topsoil_0_30,soil_ecec_subsoil_30_100,soil_depth_of_soil,soil_depth_of_regolith,panel_key
1,1989-90,1989,New South Wales,Barley,412.9,655.6,1.587793654637927,train,1.716940676004577,0.1291470213666499,0.3361143523082599,0,May-Jun,5,6,1,61,-34.5,147.5,169.8,2.783606557377049,20,41,41.5,45.2,10,4,3,15.472131147540985,21.3,6.673770491803278,-1.4,0,0,0,0.0,4,24,498.4,8.17049180327869,74.30000000000001,1.218032786885246,11.149180327868851,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Barley | 1989 | May-Jun
12,1989-90,1989,New South Wales,Lupins,46.267,65.52,1.4161281258780554,train,1.3510743647072374,-0.06505376117081796,0.2969567573004563,0,May-Jul,5,7,2,92,-34.5,147.5,199.6,2.1695652173913045,28,64,41.5,45.2,16,4,3,14.256521739130434,21.3,5.31195652173913,-3.5,0,0,0,0.0,9,48,732.7,7.964130434782609,106.5,1.1576086956521738,10.23695652173913,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Lupins | 1989 | May-Jul
13,1989-90,1989,New South Wales,Lupins,46.267,65.52,1.4161281258780554,train,1.3510743647072374,-0.06505376117081796,0.2969567573004563,0,May-Aug,5,8,3,123,-34.5,147.5,262.1,2.1308943089430894,42,81,41.5,45.2,16,4,3,13.810569105691055,21.3,4.624390243902439,-3.5,0,0,0,0.0,13,75,1067.7,8.68048780487805,151.70000000000005,1.2333333333333336,9.760162601626014,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Lupins | 1989 | May-Aug
14,1989-90,1989,New South Wales,Lupins,46.267,65.52,1.4161281258780554,train,1.3510743647072374,-0.06505376117081796,0.2969567573004563,0,May-Sep,5,9,4,153,-34.5,147.5,276.20000000000005,1.8052287581699349,47,106,41.5,45.2,16,4,3,14.509150326797384,26.2,4.296078431372549,-3.5,1,0,0,0.0,14,100,1601.5,10.467320261437909,226.4,1.4797385620915031,9.762091503267971,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Lupins | 1989 | May-Sep
15,1989-90,1989,New South Wales,Lupins,46.267,65.52,1.4161281258780554,train,1.3510743647072374,-0.06505376117081796,0.2969567573004563,0,May-Oct,5,10,5,184,-34.5,147.5,314.6,1.7097826086956522,52,132,41.5,45.2,16,5,3,15.657065217391304,28.4,4.658695652173913,-3.5,9,0,0,0.0,14,111,2267.4,12.322826086956525,359.4,1.9532608695652167,9.900543478260868,5.6,17.9,0,6,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Lupins | 1989 | May-Oct
16,1989-90,1989,New South Wales,Oats,365.2,503.5,1.3786966046002191,train,1.5273622523399055,0.14866564773968638,0.23121848822063432,0,May-Jun,5,6,1,61,-34.5,147.5,169.8,2.783606557377049,20,41,41.5,45.2,10,4,3,15.472131147540985,21.3,6.673770491803278,-1.4,0,0,0,0.0,4,24,498.4,8.17049180327869,74.30000000000001,1.218032786885246,11.149180327868851,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Oats | 1989 | May-Jun
17,1989-90,1989,New South Wales,Oats,365.2,503.5,1.3786966046002191,train,1.5273622523399055,0.14866564773968638,0.23121848822063432,0,May-Jul,5,7,2,92,-34.5,147.5,199.6,2.1695652173913045,28,64,41.5,45.2,16,4,3,14.256521739130434,21.3,5.31195652173913,-3.5,0,0,0,0.0,9,48,732.7,7.964130434782609,106.5,1.1576086956521738,10.23695652173913,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Oats | 1989 | May-Jul
18,1989-90,1989,New South Wales,Oats,365.2,503.5,1.3786966046002191,train,1.5273622523399055,0.14866564773968638,0.23121848822063432,0,May-Aug,5,8,3,123,-34.5,147.5,262.1,2.1308943089430894,42,81,41.5,45.2,16,4,3,13.810569105691055,21.3,4.624390243902439,-3.5,0,0,0,0.0,13,75,1067.7,8.68048780487805,151.70000000000005,1.2333333333333336,9.760162601626014,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Oats | 1989 | May-Aug
19,1989-90,1989,New South Wales,Oats,365.2,503.5,1.3786966046002191,train,1.5273622523399055,0.14866564773968638,0.23121848822063432,0,May-Sep,5,9,4,153,-34.5,147.5,276.20000000000005,1.8052287581699349,47,106,41.5,45.2,16,4,3,14.509150326797384,26.2,4.296078431372549,-3.5,1,0,0,0.0,14,100,1601.5,10.467320261437909,226.4,1.4797385620915031,9.762091503267971,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Oats | 1989 | May-Sep
20,1989-90,1989,New South Wales,Oats,365.2,503.5,1.3786966046002191,train,1.5273622523399055,0.14866564773968638,0.23121848822063432,0,May-Oct,5,10,5,184,-34.5,147.5,314.6,1.7097826086956522,52,132,41.5,45.2,16,5,3,15.657065217391304,28.4,4.658695652173913,-3.5,9,0,0,0.0,14,111,2267.4,12.322826086956525,359.4,1.9532608695652167,9.900543478260868,5.6,17.9,0,6,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Oats | 1989 | May-Oct
21,1989-90,1989,New South Wales,Wheat,2123.4,3423.3,1.6121785815202034,train,1.8796972418609315,0.267518660340728,0.3639273368215884,0,May-Jun,5,6,1,61,-34.5,147.5,169.8,2.783606557377049,20,41,41.5,45.2,10,4,3,15.472131147540985,21.3,6.673770491803278,-1.4,0,0,0,0.0,4,24,498.4,8.17049180327869,74.30000000000001,1.218032786885246,11.149180327868851,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Wheat | 1989 | May-Jun
22,1989-90,1989,New South Wales,Wheat,2123.4,3423.3,1.6121785815202034,train,1.8796972418609315,0.267518660340728,0.3639273368215884,0,May-Jul,5,7,2,92,-34.5,147.5,199.6,2.1695652173913045,28,64,41.5,45.2,16,4,3,14.256521739130434,21.3,5.31195652173913,-3.5,0,0,0,0.0,9,48,732.7,7.964130434782609,106.5,1.1576086956521738,10.23695652173913,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Wheat | 1989 | May-Jul
23,1989-90,1989,New South Wales,Wheat,2123.4,3423.3,1.6121785815202034,train,1.8796972418609315,0.267518660340728,0.3639273368215884,0,May-Aug,5,8,3,123,-34.5,147.5,262.1,2.1308943089430894,42,81,41.5,45.2,16,4,3,13.810569105691055,21.3,4.624390243902439,-3.5,0,0,0,0.0,13,75,1067.7,8.68048780487805,151.70000000000005,1.2333333333333336,9.760162601626014,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Wheat | 1989 | May-Aug
24,1989-90,1989,New South Wales,Wheat,2123.4,3423.3,1.6121785815202034,train,1.8796972418609315,0.267518660340728,0.3639273368215884,0,May-Sep,5,9,4,153,-34.5,147.5,276.20000000000005,1.8052287581699349,47,106,41.5,45.2,16,4,3,14.509150326797384,26.2,4.296078431372549,-3.5,1,0,0,0.0,14,100,1601.5,10.467320261437909,226.4,1.4797385620915031,9.762091503267971,5.6,17.9,0,0,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Wheat | 1989 | May-Sep
25,1989-90,1989,New South Wales,Wheat,2123.4,3423.3,1.6121785815202034,train,1.8796972418609315,0.267518660340728,0.3639273368215884,0,May-Oct,5,10,5,184,-34.5,147.5,314.6,1.7097826086956522,52,132,41.5,45.2,16,5,3,15.657065217391304,28.4,4.658695652173913,-3.5,9,0,0,0.0,14,111,2267.4,12.322826086956525,359.4,1.9532608695652167,9.900543478260868,5.6,17.9,0,6,0,-34.5,146.5,12.13834015528361,12.127986907958984,1.4478452404340107,1.486698031425476,20.828147252400715,30.82151848929269,61.29374504089356,49.909806387765066,8.273976802825928,7.658827304840088,1.760719855626424,0.456215603010995,0.1038892058034737,0.0406921995537621,0.025356691951553,0.0217320692858525,5.445728619893392,5.901124886104038,7.9211319287618,7.969489574432373,0.6959657073020935,4.652921199798584,New South Wales | Wheat | 1989 | May-Oct
26,1989-90,1989,Queensland,Barley,179.4,320.7,1.7876254180602005,train,1.371009878134977,-0.4166155399252234,0.3361143523082599,0,May-Jun,5,6,1,61,-27.5,151.5,59.3,0.9721311475409836,9,52,17.3,17.500000000000004,19,2,0,20.096721311475413,27.0,9.321311475409836,-0.7,5,0,0,0.0,2,15,693.7,11.372131147540983,120.9,1.981967213114754,13.614754098360656,7.5,18.9,0,0,0,-27.5,151.5,17.656619389851887,16.185244696480886,1.28931067387263,1.3091525861195157,46.41717974344889,52.87416022164481,31.467992782592773,24.2187374659947,14.348280270894367,13.445967265537806,1.409766713778178,0.7034971203122821,0.1151808748642602,0.051821582019329,0.05827640555799,0.0407483503222465,6.510519027709961,7.178864410945347,29.59937731424968,32.45380619594029,1.2467529773712158,26.42037010192871,Queensland | Barley | 1989 | May-Jun
27,1989-90,1989,Queensland,Barley,179.4,320.7,1.7876254180602005,train,1.371009878134977,-0.4166155399252234,0.3361143523082599,0,May-Jul,5,7,2,92,-27.5,151.5,82.2,0.8934782608695653,13,79,17.3,17.500000000000004,19,3,0,18.97391304347826,27.0,7.556521739130434,-3.1,5,0,0,0.0,7,35,1082.1,11.76195652173913,186.8,2.030434782608696,12.322826086956525,5.5,18.9,0,0,0,-27.5,151.5,17.656619389851887,16.185244696480886,1.28931067387263,1.3091525861195157,46.41717974344889,52.87416022164481,31.467992782592773,24.2187374659947,14.348280270894367,13.445967265537806,1.409766713778178,0.7034971203122821,0.1151808748642602,0.051821582019329,0.05827640555799,0.0407483503222465,6.510519027709961,7.178864410945347,29.59937731424968,32.45380619594029,1.2467529773712158,26.42037010192871,Queensland | Barley | 1989 | May-Jul
28,1989-90,1989,Queensland,Barley,179.4,320.7,1.7876254180602005,train,1.371009878134977,-0.4166155399252234,0.3361143523082599,0,May-Aug,5,8,3,123,-27.5,151.5,98.0,0.7967479674796748,17,106,17.3,17.500000000000004,19,3,0,18.92682926829268,27.0,6.246341463414634,-3.1,6,0,0,0.0,15,60,1639.9000000000003,13.332520325203255,281.70000000000005,2.2902439024390246,11.448780487804878,5.5,18.9,0,1,0,-27.5,151.5,17.656619389851887,16.185244696480886,1.28931067387263,1.3091525861195157,46.41717974344889,52.87416022164481,31.467992782592773,24.2187374659947,14.348280270894367,13.445967265537806,1.409766713778178,0.7034971203122821,0.1151808748642602,0.051821582019329,0.05827640555799,0.0407483503222465,6.510519027709961,7.178864410945347,29.59937731424968,32.45380619594029,1.2467529773712158,26.42037010192871,Queensland | Barley | 1989 | May-Aug
